Transaction Name,Round,Round - Classification,Investor Names,Organization Name,Funding Type,Money Raised (in USD),Announced Date,Announce Year,Lead Investors,Pre-Money Valuation (in USD),Total Funding Amount (in USD),Estimated Valuation
Series A - Almanac,Series A,Early-stage,"Alex MacCaw, Alumni Ventures, Darian Shirazi, Dennis Crowley, Floodgate, General Catalyst, Green D Ventures, Indicator Ventures, Jack Altman, Josh Reeves, Leblon Capital, Leore Avidar, Ryan Caldbeck, Tiger Global Management, Unpopular Ventures, Zack Kanter",Almanac,Series A,"$34,000,000 ",9/22/21,2021,,,"$45,000,000 ",75.56%
Series A - Cloudsmith,Series A,Early-stage,"Amaranthine, Frontline Ventures, Leadout Capital, MMC Ventures, Sarah Friar, Scott Johnston, Shane Curran, Shasta Ventures, Sorenson Capital, Tapestry VC, Techstart Ventures, Tiger Global Management, Yvonne Wassenaar",Cloudsmith,Series A,"$15,000,000 ",9/21/21,2021,Tiger Global Management,,"$29,084,171 ",51.57%
Series D - Arcadia,Series D,Late-stage,"Alumni Ventures, BoxGroup, Bracket Capital, Camber Creek, Energy Impact Partners, G2 Venture Partners, Inclusive Capital Partners, MCJ, Reimagined Ventures, Seek Ventures, The Drawdown Fund, Tiger Global Management, Wellington Management",Arcadia,Series D,"$100,000,000 ",9/15/21,2021,"The Drawdown Fund, Tiger Global Management",,"$575,500,000 ",17.38%
Series B - StrongDM,Series B,Early-stage,"Bloomberg Beta, Godfrey Sullivan, Google Ventures, HearstLab, Sequoia Capital, Tiger Global Management, True Ventures",StrongDM,Series B,"$54,000,000 ",9/15/21,2021,Tiger Global Management,,"$110,050,000 ",49.07%
Series B - Deep Vision,Series B,Early-stage,"Exfinity Venture Partners, Silicon Motion Technology, Tiger Global Management, Western Digital",Deep Vision,Series B,"$35,000,000 ",9/15/21,2021,Tiger Global Management,,"$35,000,000 ",100.00%
Series B - Kinara,Series B,Early-stage,"Exfinity Venture Partners, Silicon Motion Technology, Tiger Global Management, Western Digital Capital",Kinara,Series B,"$34,700,000 ",9/14/21,2021,Tiger Global Management,,"$49,200,000 ",70.53%
Series A - Ambi Robotics,Series A,Early-stage,"Bow Capital, The House Fund, Tiger Global Management, Vertex Ventures",Ambi Robotics,Series A,"$26,000,000 ",9/14/21,2021,Tiger Global Management,,"$65,137,535 ",39.92%
Series B - VERSATILE,Series B,Early-stage,"Bosch Ventures, Conductive Ventures, Craig Tooey, Entrée Capital, Insight Partners, Leigh Jasper, Ralph Gootee, Robert Phillpot, Root Ventures, Tiger Global Management",VERSATILE,Series B,"$80,000,000 ",9/14/21,2021,Insight Partners,,"$108,532,637 ",73.71%
Series E - Locus Robotics,Series E,Venture-Growth,Tiger Global Management,Locus Robotics,Series E,"$50,000,000 ",9/14/21,2021,Tiger Global Management,,"$416,000,000 ",12.02%
Post-IPO Equity - BlackSky Global,Post-IPO Equity,Venture-Growth,"Mithril Capital Management, Senator Investment Group, Tiger Global Management",BlackSky Global,Post-IPO Equity,"$180,000,000 ",9/9/21,2021,,,"$280,400,000 ",64.19%
Series A - CreditCaptain,Series A,Early-stage,"Global Founders Capital, Insight Partners, Tiger Global Management",CreditCaptain,Series A,"$25,000,000 ",9/6/21,2021,,,"$28,500,000 ",87.72%
Series B - Humane,Series B,Early-stage,"Bond, Forerunner, Kindred Ventures, Lachy Groom, NEXT VENTŪRES, Plexo Capital, Qualcomm Ventures, Sam Altman, SoftBank Capital, Tiger Global Management, Time Ventures, Valia Ventures, Wilson Sonsini Goodrich & Rosati",Humane,Series B,"$100,000,000 ",9/1/21,2021,Tiger Global Management,,"$230,000,000 ",43.48%
Series B - Calibrate,Series B,Early-stage,"Forerunner, Founders Fund, Optum Ventures, Threshold, Tiger Global Management",Calibrate,Series B,"$100,000,000 ",8/25/21,2021,"Founders Fund, Tiger Global Management",,"$127,600,000 ",78.37%
Series D - EKuaibao,Series D,Late-stage,"Future Capital, Mandra Capital, Sequoia Capital, SoftBank Vision Fund, Tiger Global Management",EKuaibao,Series D,"$154,000,000 ",8/24/21,2021,SoftBank Vision Fund,,"$225,599,514 ",68.26%
Series B - Cora,Series B,Early-stage,"Greenoaks, Kaszek, QED Investors, Ribbit Capital, Tencent, Tiger Global Management",Cora,Series B,"$116,250,262 ",8/24/21,2021,Greenoaks,,"$254,563,662 ",45.67%
Series B - Nacelle,Series B,Early-stage,Tiger Global Management,Nacelle,Series B,"$50,000,000 ",8/19/21,2021,Tiger Global Management,,"$68,480,000 ",73.01%
Series C - Carrot Fertility,Series C,Late-stage,"CRV, F-Prime Capital, OrbiMed, Silicon Valley Bank, Tiger Global Management, U.S. Venture Partners",Carrot Fertility,Series C,"$75,000,000 ",8/17/21,2021,Tiger Global Management,,"$114,220,000 ",65.66%
Series D - DuckDuckGo,Series D,Late-stage,"K5 Global, OMERS Ventures, Quiet Capital, Tiger Global Management, Union Square Ventures",DuckDuckGo,Series D,"$10,350,008 ",8/17/21,2021,Tiger Global Management,,"$182,350,008 ",5.68%
Series B - CertiK,Series B,Early-stage,"Hillhouse Investment, Tiger Global Management",CertiK,Series B,"$24,000,000 ",8/17/21,2021,"Hillhouse Investment, Tiger Global Management",,"$300,200,000 ",7.99%
Series B - Kojo,Series B,Early-stage,"8VC, Abstract Ventures, DST Global, Hanover Technology Investment Management, Jerry Yang, Kevin Hartz, LeFrak, Michael Ovitz, Nine Four Ventures, Suffolk Technologies, Tiger Global Management, Tishman Speyer",Kojo,Series B,"$33,300,000 ",8/12/21,2021,Tiger Global Management,,"$83,620,000 ",39.82%
Series A - Verifiable,Series A,Early-stage,"Apollo Projects, Craft Ventures, Daft Capital, Jack Altman, John Fontein, Jonathan Hirsch, Mathilde Collin, Parker Conrad, Rahul Vohra, Ryan Petersen, Sam Altman, Struck Capital, Tiger Global Management, Todd Goldberg, Zeno Partners",Verifiable,Series A,"$17,000,000 ",8/6/21,2021,"Jack Altman, Sam Altman",,"$47,000,000 ",36.17%
Series B - Hologram,Series B,Early-stage,"Bullpen Capital, Cap Table Coalition, Capital Midwest Fund, Founders Circle Capital, KohFounders, Mucker Capital, NextView Ventures, Tiger Global Management",Hologram,Series B,"$66,800,000 ",8/2/21,2021,Tiger Global Management,,"$82,353,000 ",81.11%
Series A - Zip,Series A,Early-stage,"CRV, Nate Rosenthal, Tiger Global Management, Y Combinator Continuity Fund",Zip,Series A,"$26,800,000 ",8/1/21,2021,Tiger Global Management,,"$181,325,000 ",14.78%
Series F - GupShup,Series F,Venture-Growth,"Fidelity, Harbor Spring Capital, Malabar Investment Advisors, Neeraj Arora, Neuberger Berman Loan Advisers Holdings, Think Investments, Tiger Global Management, White Oak Global Advisors",GupShup,Series F,"$240,000,000 ",7/28/21,2021,,,"$484,130,000 ",49.57%
Series A - Nym,Series A,Early-stage,"Addition, Bessemer Venture Partners, Dynamic Loop Capital, Google Ventures, Invus Opportunities, Lightspeed Venture Partners, Nat Turner, Tiger Global Management, Zach Weinberg",Nym,Series A,"$25,000,000 ",7/27/21,2021,Addition,,"$94,500,000 ",26.46%
Series A - G.O.A.T Brand Labs,Series A,Early-stage,"Alex Kuruvilla, Alteria Capital, Better Capital, Flipkart Ventures, iSeed, Mayfield Fund, Neeraj Goenka, Nordstar, Ranjan Pai, Suhail Sameer, Sujeet Kumar, Tiger Global Management, Trifecta Capital Advisors, Utsav Somani, Virendra Gupta",G.O.A.T Brand Labs,Series A,"$483,551 ",7/25/21,2021,Tiger Global Management,,"$89,573,342 ",0.54%
Series A - Magic,Series A,Early-stage,"Alex Bouaziz, Alex MacCaw, Alexis Ohanian, Balaji Srinivasan, Ben Davenport, Ben Porterfield, Ben Pruess, Casey Neistat, Cherubic Ventures, CoinFund, Digital Currency Group, FinSight Ventures, GTMfund, Guillermo Rauch, Hana Yang, Hiten Shah, Jacob Jaber, Jana Messerschmidt, Jason Warner, Julien Bouteloup, Kayvon Beykpour, Miyuki Matsumoto, Naval Ravikant, Northzone, Placeholder, Roham Gharegozlou, Ryan Hoover, Sahil Lavingia, Scott Belsky, Shahed Khan, Shiva Rajaraman, Soona Amhaz, SV Angel, Tiger Global Management, Varsha Rao, Volt Capital",Magic,Series A,"$27,000,000 ",7/22/21,2021,Northzone,,"$83,000,000 ",32.53%
Series A - JOKR,Series A,Early-stage,"Activant Capital, Balderton Capital, Banana Capital, FJ Labs, Greycroft, HV Capital, Kaszek, Market One Capital, monashees, Notable Capital, SoftBank, Tiger Global Management",JOKR,Series A,"$170,000,000 ",7/20/21,2021,"Balderton Capital, Notable Capital, Tiger Global Management",,"$530,000,000 ",32.08%
Series C - Path Robotics,Series C,Late-stage,"Addition, Silicon Valley Bank, Tiger Global Management",Path Robotics,Series C,"$100,000,000 ",7/20/21,2021,Tiger Global Management,,"$271,000,000 ",36.90%
Series A - Dover,Series A,Early-stage,"Abstract Ventures, Bradley Horowitz, Founders Fund, Tiger Global Management, Y Combinator",Dover,Series A,"$20,000,000 ",7/19/21,2021,Tiger Global Management,,"$22,800,000 ",87.72%
Series D - EquipmentShare,Series D,Late-stage,"Anchorage Capital Group, Insight Partners, Left Lane Capital, Red Hook Capital, RedBird Capital Partners, Romulus Capital, Sand Hill Angels, The Spruce House Partnership, Tiger Global Management, Tru Arrow Partners",EquipmentShare,Series D,"$230,000,000 ",7/15/21,2021,"RedBird Capital Partners, The Spruce House Partnership, Tiger Global Management",,"$3,541,500,000 ",6.49%
Series B - FairMoney,Series B,Early-stage,"DST Global, Flourish Ventures, Newfund, Speedinvest, Tiger Global Management",FairMoney,Series B,"$42,000,000 ",7/2/21,2021,Tiger Global Management,,"$67,502,621 ",62.22%
Series A - Osmind,Series A,Early-stage,"Adrian Aoun, Alice Zhang, AME Cloud Ventures, Future Ventures, General Catalyst, Joshua Kushner, Offline Ventures, Pear VC, Tiger Global Management",Osmind,Series A,"$15,000,000 ",7/1/21,2021,Future Ventures,,"$57,175,000 ",26.24%
Series B - Physna,Series B,Early-stage,"Google Ventures, Sequoia Capital, Tiger Global Management",Physna,Series B,"$56,000,000 ",7/1/21,2021,Tiger Global Management,,"$85,000,000 ",65.88%
Series B - Codat,Series B,Early-stage,"American Express Ventures, Index Ventures, PayPal Ventures, Tiger Global Management",Codat,Series B,"$46,119,686 ",6/30/21,2021,Tiger Global Management,,"$176,807,380 ",26.08%
Post-IPO Equity - ironSource,Post-IPO Equity,Venture-Growth,"Counterpoint Global, Nuveen, a TIAA company, The Baupost Group, Thoma Bravo, Tiger Global Management, Wellington Management",ironSource,Post-IPO Equity,"$1,300,000,000 ",6/29/21,2021,Thoma Bravo,,"$1,855,000,000 ",70.08%
Series B - RoadSync,Series B,Early-stage,"Base10 Partners, Bossanova Investimentos, Endeavor Catalyst, Excelestar Ventures, Gaingels, Hyde Park Venture Partners, Tiger Global Management, Trajectory Ventures",RoadSync,Series B,"$30,000,000 ",6/24/21,2021,Tiger Global Management,,"$38,300,000 ",78.33%
Series B - Habi,Series B,Early-stage,"8VC, Homebrew, Inspired Capital Partners, SoftBank, Tiger Global Management",Habi,Series B,"$100,000,000 ",6/23/21,2021,SoftBank,,"$597,800,000 ",16.73%
Series B - Progcap,Series B,Early-stage,"Peak XV Partners, Tiger Global Management",Progcap,Series B,"$24,954,325 ",6/21/21,2021,"Peak XV Partners, Tiger Global Management",,"$150,624,557 ",16.57%
Private Equity Round - Waymo,Private Equity Round,Venture-Growth,"Alphabet, Andreessen Horowitz, AutoNation, CPP Investments, Fidelity, Magna International, Mubadala Capital Ventures, Perry Creek Capital, Silver Lake, T. Rowe Price, Temasek Holdings, Tiger Global Management",Waymo,Private Equity,"$2,500,000,000 ",6/16/21,2021,,,"$10,500,000,000 ",23.81%
Series A - Kutumb,Series A,Early-stage,"AL Trust, Nirman Investments, Quiet Capital, Rocketship.vc, Sujeet Kumar, Tiger Global Management, Titan Capital",Kutumb,Series A,"$26,500,000 ",6/14/21,2021,Tiger Global Management,,"$30,011,682 ",88.30%
Series C - Popmenu,Series C,Late-stage,"Base10 Partners, Bedrock, Felicis, Salesforce Ventures, Tiger Global Management",Popmenu,Series C,"$65,000,000 ",6/11/21,2021,Tiger Global Management,,"$87,144,981 ",74.59%
Series B - Prefect,Series B,Early-stage,"Bessemer Venture Partners, Positive Sum, Quiet Capital, Rachel Zoe Ventures, Tiger Global Management",Prefect,Series B,"$32,000,000 ",6/10/21,2021,Tiger Global Management,,"$60,000,000 ",53.33%
Post-IPO Equity - Katapult,Post-IPO Equity,Venture-Growth,"Neuberger Berman, Tiger Global Management",Katapult,Post-IPO Equity,"$150,000,000 ",6/10/21,2021,"Neuberger Berman, Tiger Global Management",,"$436,040,000 ",34.40%
Series B - Briq,Series B,Early-stage,"Blackhorn Ventures, Eniac Ventures, Tiger Global Management",Briq,Series B,"$30,000,000 ",6/7/21,2021,Tiger Global Management,,"$54,000,000 ",55.56%
Series C - Facily,Series C,Late-stage,"Banana Capital, Bossanova Investimentos, Glade Brook Capital Partners, Hillhouse Investment, Tiger Global Management",Facily,Series C,"$63,000,000 ",6/1/21,2021,Glade Brook Capital Partners,,"$502,400,000 ",12.54%
Series B - Frubana,Series B,Early-stage,"Citius, Lightspeed Venture Partners, monashees, Notable Capital, SoftBank, Tiger Global Management",Frubana,Series B,"$65,000,000 ",6/1/21,2021,Notable Capital,,"$271,099,653 ",23.98%
Series A - Plum,Series A,Early-stage,"Anuj Srivastava, Gaurav Munjal, Gemba Capital, Hemesh Singh, Incubate Fund India, Ishan Bansal Dean, Kunal Shah, Lalit Keshre, Meyer Keith, Neon Fund, Ramakant Sharma, Roman Saini, Satyam Singh, Surge, Tanglin Venture Partners, Tanmaya Jain, Tiger Global Management",Plum,Series A,"$15,600,000 ",5/30/21,2021,Tiger Global Management,,"$20,645,163 ",75.56%
Series B - Xanadu,Series B,Early-stage,"Bessemer Venture Partners, Business Development Bank of Canada, Capricorn Investment Group, Georgian, In-Q-Tel, OMERS Ventures, Tiger Global Management, Tim Draper",Xanadu,Series B,"$100,000,000 ",5/25/21,2021,Bessemer Venture Partners,,"$268,317,736 ",37.27%
Series B - Ever/Body,Series B,Early-stage,"ACME Capital, Addition, Declaration Partners, Fifth Wall, Gaingels, MetaProp, Tiger Global Management",Ever/Body,Series B,"$38,000,000 ",5/25/21,2021,Tiger Global Management,,"$110,500,000 ",34.39%
Series B - Qualio,Series B,Early-stage,"Frontline Ventures, Menlo Ventures, MHS Capital, Operator Partners, Sorenson Capital, Storm Ventures, Tiger Global Management",Qualio,Series B,"$50,000,000 ",5/25/21,2021,Tiger Global Management,,"$66,117,233 ",75.62%
Series A - Portside,Series A,Early-stage,"I2BF Global Ventures, Soma Capital, TechNexus Venture Collaborative, Tiger Global Management",Portside,Series A,"$17,000,000 ",5/20/21,2021,Tiger Global Management,,"$67,273,880 ",25.27%
Series A - Stake,Series A,Early-stage,"DST Global, Tiger Global Management",Stake,Series A,"$31,150,731 ",5/18/21,2021,Tiger Global Management,,"$70,260,730 ",44.34%
Series C - PathAI,Series C,Late-stage,"8VC, Adage Capital Management, Bienville Capital, Biospring Partners, Bristol-Myers Squibb, D1 Capital Partners, General Atlantic, General Catalyst, Kaiser Permanente, KdT Ventures, LabCorp, Merck Global Health Innovation Fund, Polaris Partners, Refactor, Tiger Global Management",PathAI,Series C,"$165,000,000 ",5/18/21,2021,"D1 Capital Partners, Kaiser Permanente",,"$355,200,000 ",46.45%
Series B - Ankorstore,Series B,Early-stage,"Aglaé Ventures, Alven, Bain Capital Ventures, Global Founders Capital, Index Ventures, TCV, Tiger Global Management",Ankorstore,Series B,"$102,065,614 ",5/16/21,2021,"Bain Capital Ventures, Tiger Global Management",,"$421,804,886 ",24.20%
Series B - Contractbook,Series B,Early-stage,"Bessemer Venture Partners, byFounders, Gradient, Tiger Global Management",Contractbook,Series B,"$30,000,000 ",5/11/21,2021,Tiger Global Management,,"$43,277,352 ",69.32%
Series A - Babel Finance,Series A,Early-stage,"BAI capital, Bertelsmann, Dragonfly, HongShan, Tiger Global Management, Zoo Capital",Babel Finance,Series A,"$40,000,000 ",5/10/21,2021,"BAI capital, Bertelsmann, Dragonfly, HongShan, Tiger Global Management, Zoo Capital",,"$120,000,000 ",33.33%
Seed Round - Blair,Seed Round,Seed,"468 Capital, Daft Capital, Jon Dishotsky, Rainfall Ventures, Tiger Global Management",Blair,Seed,"$6,300,000 ",5/7/21,2021,Tiger Global Management,,"$107,400,000 ",5.87%
Seed Round - Bego,Seed Round,Seed,"Flexport, FundersClub, Global Founders Capital, Hack VC, Immad Akhund, JAM Fund, Jonathan Lewy, Justin Mateen, Liquid 2 Ventures, MANTIS Venture Capital, Ross Lipson, Soma Capital, Tiger Global Management, Y Combinator",Bego,Seed,"$14,000,000 ",5/6/21,2021,"JAM Fund, Tiger Global Management",,"$14,000,000 ",100.00%
Series A - Adalo,Series A,Early-stage,"Barak Kaufman, Ben Tossell, Bossanova Investimentos, Jason Warner, Oceans, Oldslip, Shlomo Dalezman, Tiger Global Management, Wade Foster",Adalo,Series A,"$8,000,000 ",5/4/21,2021,Tiger Global Management,,"$9,750,000 ",82.05%
Series C - Bird,Series C,Late-stage,"Accel, Atomico, BlackRock, Bonnier Ventures, Eurazeo, Glynn Capital Management, Lightrock, Longbow Capital, Mousse Partners, NewView Capital, Owl Rock Capital, Tiger Global Management, Y Combinator",Bird,Series C,"$800,000,000 ",4/28/21,2021,,,"$1,100,120,000 ",72.72%
Series C - Productboard,Series C,Late-stage,"Bessemer Venture Partners, Index Ventures, Kleiner Perkins, Sequoia Capital, Tiger Global Management",Productboard,Series C,"$72,000,000 ",4/22/21,2021,Tiger Global Management,,"$261,700,000 ",27.51%
Series B - AfterShip,Series B,Early-stage,"GL Ventures LLC, Tiger Global Management",AfterShip,Series B,"$66,000,000 ",4/22/21,2021,Tiger Global Management,,"$69,000,000 ",95.65%
Series A - Cape,Series A,Early-stage,"Andy Brown, Ben Porterfield, boldstart ventures, Bossanova Investimentos, Downing Lane, Evolution Equity Partners, Fred Ehrsam, Haystack, Jevon MacDonald, Keenan Rice, Radical Ventures, Ridgeline, Roseann Palmieri, Spearhead, Tiger Global Management, Tom Noonan, Version One Ventures",Cape,Series A,"$20,000,000 ",4/20/21,2021,Evolution Equity Partners,,"$25,000,000 ",80.00%
Series B - Chili Piper,Series B,Early-stage,"Base10 Partners, Gradient, Tiger Global Management",Chili Piper,Series B,"$33,000,000 ",4/15/21,2021,Tiger Global Management,,"$54,350,000 ",60.72%
Series C - Papa,Series C,Late-stage,"FJ Labs, Initialized Capital, Tiger Global Management",Papa,Series C,"$60,000,000 ",4/13/21,2021,Tiger Global Management,,"$241,205,000 ",24.88%
Series D - Dingdong Maicai,Series D,Late-stage,"3W Fund Management, Aspex Management, Cambium Grove Capital, Capital Today, CMC Capital Group, Coatue, Cygnus Equity, DST Global, General Atlantic, Hony Capital, MassAve Global, Ocean Link, Sequoia Capital, Tiger Global Management",Dingdong Maicai,Series D,"$700,000,000 ",4/6/21,2021,"Coatue, DST Global",,"$1,330,000,000 ",52.63%
Series B - LingoAce,Series B,Early-stage,"Owl Ventures, Tiger Global Management",LingoAce,Series B,"$58,000,000 ",4/3/21,2021,"Owl Ventures, Tiger Global Management",,"$180,000,000 ",32.22%
Series C - Teya,Series C,Late-stage,"Base Partners, Durable Capital Partners, HOF Capital, Lone Pine Capital, Tiger Global Management, Untitled Investments, Vetamer, Volpe Capital",Teya,Series C,"$500,000,000 ",4/1/21,2021,,,"$1,090,000,000 ",45.87%
Series A - Crosschq,Series A,Early-stage,"Aaron Gordon, Bessemer Venture Partners, Cameron Champ, DK Metcalf, Intersect VC, Isaiah Thomas, Jack Altman, Khris Middleton, Klay Thompson, Nolan Arenado, Notable Capital, Rocketship.vc, SAP.iO, Slack Fund, Tiger Global Management",Crosschq,Series A,"$30,000,000 ",3/30/21,2021,Tiger Global Management,,"$40,600,000 ",73.89%
Series C - Cityblock Health,Series C,Late-stage,"8VC, Echo Health Ventures, General Catalyst, Goldman Sachs Asset Management, Kinnevik, Maverick Ventures, Redpoint, Thrive Capital, Tiger Global Management, Wellington Management",Cityblock Health,Series C,"$192,000,000 ",3/29/21,2021,Tiger Global Management,,"$891,300,000 ",21.54%
Secondary Market - Dream Sports,Secondary Market,Venture-Growth,"Chrys Capital, D1 Capital Partners, Footpath Ventures, Steadview Capital, TCV, Tiger Global Management, TPG Growth",Dream Sports,Secondary Market,"$400,000,000 ",3/24/21,2021,"D1 Capital Partners, TCV",,"$400,000,000 ",100.00%
Series B - Acquire,Series B,Early-stage,Tiger Global Management,Acquire,Series B,"$45,000,000 ",3/21/21,2021,Tiger Global Management,,"$56,800,000 ",79.23%
Seed Round - Ariga Technologies,Seed Round,Seed,"Tiger Global Management, TLV Partners",Ariga Technologies,Seed,"$3,000,000 ",3/9/21,2021,"Tiger Global Management, TLV Partners",,"$18,000,000 ",16.67%
Series A - Daily.co,Series A,Early-stage,"April Underwood, Basement Fund, Compound, Elizabeth Weil, Ellen Levy, Freestyle Capital, Ground Up Ventures, Haystack, Lachy Groom, Moxxie Ventures, Offline Ventures, Root Ventures, Sarah Imbach, Slack Fund, SV Angel, TenOneTen Ventures, Tiger Global Management, Worklife, Y Combinator",Daily.co,Series A,"$15,000,000 ",3/9/21,2021,Lachy Groom,,"$62,220,000 ",24.11%
Series A - Vendr,Series A,Early-stage,"Craft Ventures, F-Prime Capital, Garage Capital, Sound Ventures, Tiger Global Management, Y Combinator",Vendr,Series A,"$60,000,000 ",3/8/21,2021,Tiger Global Management,,"$216,000,000 ",27.78%
Series C - Ally.io (Acquired),Series C,Late-stage,"Accel, Founders' Co-op, Greenoaks, Lee Fixel, Madrona, Tiger Global Management, Vulcan Capital",Ally.io (Acquired),Series C,"$50,000,000 ",2/17/21,2021,Greenoaks,,"$73,000,000 ",68.49%
Series C - TigerGraph,Series C,Late-stage,"Tiger Global Management, Victor Koch",TigerGraph,Series C,"$105,000,000 ",2/17/21,2021,Tiger Global Management,,"$171,846,262 ",61.10%
Series B - Flipdish,Series B,Early-stage,Tiger Global Management,Flipdish,Series B,"$48,524,021 ",2/11/21,2021,Tiger Global Management,,"$157,083,919 ",30.89%
Series A - Essor,Series A,Early-stage,"Declaration Partners, Gabriel Naouri, Jon Oringer, Kima Ventures, Kreos Capital, Lurra Capital, Mark Pincus, Maximilian Bittner, Regah Ventures, Target Global, Tiger Global Management, Vine Ventures",Essor,Series A,"$150,000,000 ",2/9/21,2021,Target Global,,"$240,000,000 ",62.50%
Series B - Deepgram,Series B,Early-stage,"Bossanova Investimentos, Citi Ventures, SAP.iO, Tiger Global Management, Wing Venture Capital",Deepgram,Series B,"$25,000,000 ",2/3/21,2021,Tiger Global Management,,"$85,920,000 ",29.10%
Series B - Run:AI,Series B,Early-stage,"Insight Partners, S Capital, Tiger Global Management, TLV Partners",Run:AI,Series B,"$30,000,000 ",1/26/21,2021,Insight Partners,,"$118,000,000 ",25.42%
Series E - Wolt,Series E,Venture-Growth,"83North, Coatue, DST Global, EQT, EQT Ventures, GS Growth, Highland Europe, ICONIQ Growth, Kohlberg Kravis Roberts, Prosus Ventures, Tiger Global Management, Vintage Investment Partners",Wolt,Series E,"$530,000,000 ",1/25/21,2021,ICONIQ Growth,,"$822,523,959 ",64.44%
Series B - Flash,Series B,Early-stage,"Citius, Global Founders Capital, Kauffman Fellows, monashees, Tiger Global Management",Flash,Series B,"$22,000,000 ",1/22/21,2021,Tiger Global Management,,"$130,000,000 ",16.92%
Secondary Market - Unacademy,Secondary Market,Venture-Growth,"Dragoneer Investment Group, General Atlantic, Steadview Capital, Tiger Global Management",Unacademy,Secondary Market,"$50,000,000 ",1/13/21,2021,,,"$838,500,000 ",5.96%
Series A - Traive,Series A,Early-stage,"Astella, Minerva Foods, Serasa Experian, SP Ventures, Syngenta Ventures, Tiger Global Management",Traive,Series A,"$17,000,000 ",1/10/21,2021,,,"$67,800,000 ",25.07%
Series A - TaxBit,Series A,Early-stage,"Album VC, Angel Collective Opportunity Fund, Anthony Pompliano, Bienville Capital, Bill Ackman, Bossanova Investimentos, Coinbase Ventures, Collaborative Ventures, Galaxy Digital, Global Founders Capital, K2 Global, Michael Vaughan, Original Capital, Paradigm, PayPal Ventures, Ryan Smith, Tiger Global Management, TTV Capital, Valar Ventures, Winklevoss Capital",TaxBit,Series A,"$100,000,000 ",1/7/21,2021,"Paradigm, Tiger Global Management",,"$253,360,311 ",39.47%
Series A - Carrum Health,Series A,Early-stage,"Cross Creek, GreatPoint Ventures, SpringRock Ventures, Tiger Global Management, Wildcat Venture Partners",Carrum Health,Series A,"$40,000,000 ",1/7/21,2021,Tiger Global Management,,"$96,000,000 ",41.67%
Series A - Mottu,Series A,Early-stage,Tiger Global Management,Mottu,Series A,"$20,000,000 ",1/1/21,2021,Tiger Global Management,,"$112,000,000 ",17.86%
Private Equity Round - Oscar Health,Private Equity Round,Venture-Growth,"Baillie Gifford, Coatue, Dragoneer Investment Group, Founders Fund, Khosla Ventures, Lakestar, Reinvent Capital, Tiger Global Management",Oscar Health,Private Equity,"$140,000,000 ",12/17/20,2020,Tiger Global Management,,"$1,632,500,000 ",8.58%
Series B - Shippit,Series B,Early-stage,"EVP, Jason Lenga, Tidal Ventures, Tiger Global Management",Shippit,Series B,"$22,246,793 ",12/7/20,2020,Tiger Global Management,,"$79,388,256 ",28.02%
Series C - Flexe,Series C,Late-stage,"Acequia Capital (AceCap), Activate Capital Partners, Balius Partners, Madrona, Prologis Ventures, Redpoint, T. Rowe Price, Tiger Global Management",Flexe,Series C,"$70,000,000 ",12/1/20,2020,T. Rowe Price,,"$263,000,000 ",26.62%
Series B - Spring Health,Series B,Early-stage,"Able Partners, Breanna Stewart, Crew Capital, GingerBread Capital, Kyle Lowry, Northzone, Operator Partners, Rethink Impact, SemperVirens Venture Capital, The William K. Warren Foundation, Tiger Global Management, True Capital Management, Work-Bench",Spring Health,Series B,"$76,000,000 ",11/18/20,2020,Tiger Global Management,,"$466,500,000 ",16.29%
Venture Round - blinkit,Venture Round,Late-stage,"KTB Ventures, SoftBank Vision Fund, Tiger Global Management",blinkit,Venture - Series Unknown,"$55,000,000 ",11/13/20,2020,,,"$1,049,098,135 ",5.24%
Series B - Teya,Series B,Early-stage,"Exor Ventures, Tiger Global Management",Teya,Series B,"$150,000,000 ",11/13/20,2020,,,"$1,090,000,000 ",13.76%
Series A - Harbr,Series A,Early-stage,"BACKED VC, boldstart ventures, Brandon Deer, Crane Venture Partners, Crew Capital, Daniel Dines, Dawn Capital, Mike Chalfen, Seedcamp, Tiger Global Management",Harbr,Series A,"$38,500,000 ",11/12/20,2020,"Dawn Capital, Tiger Global Management",,"$51,630,275 ",74.57%
Seed Round - Cents,Seed Round,Seed,"1517 Fund, Alumni Ventures, Bessemer Venture Partners, J-Ventures, Jason Finger, Newfund, RiverPark Ventures, Steve Fredette, Tiger Global Management, Will Gaybrick",Cents,Seed,"$4,250,000 ",11/1/20,2020,Bessemer Venture Partners,,"$74,249,999 ",5.72%
Venture Round - Karat,Venture Round,Late-stage,"8VC, Base Partners, Norwest Venture Partners, Tiger Global Management",Karat,Venture - Series Unknown,"$17,500,000 ",10/31/20,2020,Tiger Global Management,,"$169,100,000 ",10.35%
Private Equity Round - DoubleVerify,Private Equity Round,Venture-Growth,"BlackRock Innovation Capital, Fidelity, Neuberger Berman, Providence Equity Partners, Tiger Global Management",DoubleVerify,Private Equity,"$350,000,000 ",10/28/20,2020,Tiger Global Management,,"$957,625,000 ",36.55%
Series A - InVideo,Series A,Early-stage,"Adept Ventures, Base Partners, Hummingbird Ventures, Peak XV Partners, RTP Global, Tiger Global Management",InVideo,Series A,"$15,000,000 ",10/27/20,2020,Peak XV Partners,,"$52,500,000 ",28.57%
